scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
688168,016057,80519872,安博通,软件服务,,003,001,2,2018-03-19T00:00:00,2016-03-31T00:00:00,82358718.14,2210360.23,46478175.53,-,14508740.5,-,3316411.21,-,13537415.09,5236233.67,-,148152.22,-,68821303.05,-,-,-,0.05752185,0.1643713671,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:15:07
000713,016009,10001030,丰乐种业,农牧饲渔,szzb,003,001,2,2017-10-21T00:00:00,2016-03-31T00:00:00,1866091397.34,348686451.74,229005597.59,0.180223889320809,93546556.95,0.0872896661830374,558592026.95,0.0680137327679043,489473877.59,99487377.76,0.190848140594908,175237353.37,0.126585114747503,1376617519.75,0.00869719768365935,0.031075,0.099688,0.02189432,0.262298984,-,-,-,-,111449981.84,0.0551534161837659,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-12-03T16:29:17
002181,016039,10001346,粤传媒,文化传媒,zxb,003,001,2,2017-08-23T00:00:00,2016-03-31T00:00:00,4331725076.83,706169343.14,534706808.6,-0.42662887672073,375206474.32,-0.519444374233843,107482225.73,-0.165399271271475,780162438.16,200509883.02,0.344437745508788,168426420.71,-0.159347937878355,3551562638.67,-0.185732182314534,-0.130688,0.255747,0.02879757,0.180104329,-,-,-,-,294216000.0,4.90795180722892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020-01-06T09:55:47
603938,016041,80463402,三孚股份,化工行业,shzb,003,001,2,2017-06-27T00:00:00,2016-03-31T00:00:00,606150258.0,169862455.3,63174955.82,-,42197561.1,-,66603683.23,-,68532890.48,42083869.29,-,14976170.02,-,537617367.52,-,-,-,0.04227489,0.1130625444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:37:30
002715,016035,80198667,登云股份,汽车行业,zxb,003,001,2,2017-06-10T00:00:00,2016-03-31T00:00:00,673007454.96,254753910.13,55852370.2,-0.149674049228267,95429938.22,-0.100686280436476,155706249.19,0.0401437810306342,231184394.22,28522434.64,1.65626945767237,190154.22,1.42621793358397,441823060.74,-0.0742263726553087,-0.000786,0.177771,0.01556331,0.3435094107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:28:41
300056,016048,80139912,中创环保,环保工程,cyb,003,001,2,2017-06-08T00:00:00,2016-03-31T00:00:00,2797641732.02,254681364.28,183448923.77,1.50346762930762,386407885.22,0.480258682475879,563556390.17,4.5278699991825,1378474768.23,240992119.11,1.8415048194122,419260336.69,7.50415816651967,1419166963.79,2.00900097541312,2.055668,2.105249,0.01193289,0.4927274113,-,-,-,-,150000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-29T09:06:28
600128,016037,10000099,弘业股份,国际贸易,shzb,003,001,2,2017-04-28T00:00:00,2016-03-31T00:00:00,2746665058.67,293889309.11,527454174.5,-0.0168118131071505,314301585.87,-0.220073847177607,139587954.18,-0.552563227505869,1141650641.02,138823989.57,-0.57551571245269,301118819.0,-0.230646884068138,1605014417.65,0.000155904198017502,-0.164826,-0.322049,0.01535243,0.4156497486,-,-,-,-,124025415.12,-0.34575155761873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:27:07
002229,016025,80114295,鸿博股份,造纸印刷,zxb,003,001,2,2017-04-15T00:00:00,2016-03-31T00:00:00,1851953560.5,655954774.79,286955856.54,1.64161973854708,228695470.07,0.088901660693434,168529484.76,0.234946315418498,809371358.23,160560912.28,0.0254001194418306,16996820.26,-0.107026892405671,1042582202.27,0.152740204607242,0.352249,0.740217,0.0115367,0.4370365302,-,-,-,-,179315265.0,0.545022100637601,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-29T09:39:30
600764,016055,10000713,中国海防,安防设备,shzb,003,001,2,2017-04-10T00:00:00,2016-03-31T00:00:00,861168589.87,87896344.96,110623947.62,0.251189798178648,76059885.05,-0.673232608855269,82472494.49,-0.663351328311055,241791462.0,90458680.21,-0.200672652506973,233194.0,-0.977262790789282,619377127.87,-0.166180385720989,-0.39348,-0.642865,0.01355452,0.2807713435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:26:34
002215,016050,80105581,诺普信,农药兽药,zxb,003,001,2,2017-04-08T00:00:00,2016-03-31T00:00:00,3426129721.1,239060562.04,471178307.01,-0.0620733485412434,316322274.71,-0.254795482622528,544032763.1,0.350556614174082,1494624798.02,368418344.75,0.428940415912719,339126992.66,1.67287422479089,1931504923.08,0.168858102419185,0.2819,0.464995,0.01217469,0.4362429095,-,-,-,-,407974250.0,1.04283233547026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-11-29T09:31:34
002490,016043,10002533,山东墨龙,机械行业,zxb,003,001,2,2017-03-31T00:00:00,2016-03-31T00:00:00,6379084643.25,1641506086.26,769555390.95,0.0441096580168436,590099653.72,-0.00992407426349259,837668529.92,-0.167420269634935,3909907274.15,846930471.59,0.136152373043151,50648726.93,-0.711480247127995,2469177369.1,-0.0954707108748415,0.022677,0.11462,0.0067921,0.612926069,-,-,-,-,10030000.0,0.003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:26:51
000737,016041,10001051,ST南风,化工行业,,003,001,2,2017-01-26T00:00:00,2016-03-31T00:00:00,3102514117.37,969971620.34,547732931.41,0.423698899210714,399710880.29,-0.0674525250285054,509281904.11,0.0367133071351076,3017785878.54,638101857.61,0.0991612013216507,43815572.08,-0.114316851311192,84728238.83,-0.706995925711227,0.026988,0.104683,0.00606897,0.9726904582,-,-,-,-,40183585.55,3.80852408355411,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:20:37
000995,016031,10001243,*ST皇台,酿酒行业,,003,001,2,2016-11-16T00:00:00,2016-03-31T00:00:00,535306808.21,90932556.06,6103362.23,-0.865511975243343,17320094.63,11.3569047780693,209867860.83,0.14001872529746,415587649.76,53334493.95,0.0494654048358925,11927671.99,-0.00460329226316893,119719158.45,0.0432828817327863,0.097957,0.114786,0.00804775,0.776354127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:19:18
002437,016024,80143112,誉衡药业,医药制造,zxb,003,001,2,2016-11-01T00:00:00,2016-03-31T00:00:00,8149002066.68,1579477595.37,735937767.64,0.535122845736173,91512653.68,-0.233373520181255,310211927.07,0.272900177720414,4510438269.55,96090389.15,0.0315368370549133,152248066.57,0.391512301431002,3638563797.13,0.082627307489428,0.158141,0.227191,0.00521433,0.5534957818,-,-,-,-,138391436.8,11.2461662880267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:19:06
300705,016024,80303023,九典制药,医药制造,cyb,003,001,2,2016-10-14T00:00:00,2016-03-31T00:00:00,360523085.58,89660869.98,56643863.13,-,50511700.16,-,71714357.56,-,72587010.16,22292789.78,-,8836943.86,-,287936075.42,-,-,-,0.03159279,0.2013380365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:18:15
300707,016035,80548930,威唐工业,汽车行业,cyb,003,001,2,2016-10-14T00:00:00,2016-03-31T00:00:00,372377691.53,124705905.43,107629970.26,-,35606066.13,-,63325056.53,-,143687677.31,45223317.83,-,39402758.76,-,228690014.22,-,-,-,0.01690591,0.385865428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:18:15
300726,016022,80548929,宏达电子,电子元件,cyb,003,001,2,2016-10-14T00:00:00,2016-03-31T00:00:00,753789194.67,46221075.63,120486148.2,-,250328098.69,-,114317520.41,-,70428850.65,10955327.26,-,3929761.59,-,683360344.02,-,-,-,0.10606257,0.093433086,-,-,-,-,35000000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:18:15
603848,016059,80545458,好太太,金属制品,shzb,003,001,2,2016-09-30T00:00:00,2016-03-31T00:00:00,552504707.05,61533019.92,93796618.51,-,1944544.22,-,54669996.16,-,78578251.16,33755548.76,-,30705340.52,-,473926455.89,-,-,-,0.06168316,0.1422218674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:18:08
