scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
002052,016015,10002602,同洲电子,通讯行业,zxb,003,001,2,2014-08-27T00:00:00,2013-03-31T00:00:00,3200786339.62,359125828.53,176667399.16,-0.207913095318768,1430885281.38,0.33321965418562,433922935.76,0.433375508756962,1945999275.38,549322431.24,0.581802387510148,40135785.81,-0.0156754653565728,1254787064.24,0.111680169615257,0.205689,0.275224,0.01199236,0.6079753751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:52:39
600966,016025,10001374,博汇纸业,造纸印刷,shzb,003,001,2,2014-08-21T00:00:00,2013-03-31T00:00:00,12293796827.72,3521612489.32,627281146.42,-0.238259666504698,445099219.16,-0.0720659861922083,1246558399.48,0.143922736754608,8930066608.58,820817889.69,1.03927703442118,58817518.88,-0.430018710736126,3363730219.14,-0.0109791425426805,0.459928,0.778985,0.00984394,0.7263880096,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:52:43
002436,016022,80103113,兴森科技,电子元件,zxb,003,001,2,2014-04-29T00:00:00,2013-03-31T00:00:00,2039712953.42,596178527.82,120724612.26,-0.663805330576376,310180885.64,0.25449998255082,69771608.01,0.441307223409826,420453370.97,190513057.93,0.501180041976761,5395454.42,0.115699374777302,1619259582.45,0.0641993209021255,0.207622,1.536129,0.01663142,0.2061335985,-,-,-,-,0.0,-,-,-,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,2019-07-10T12:49:48
002306,016038,80024432,ST云网,旅游酒店,,003,001,2,2014-01-30T00:00:00,2013-03-31T00:00:00,2249865777.61,342189362.29,169048691.76,-0.566645745228597,64011245.01,0.356100361170911,62942299.56,-0.0986775191536319,1077030701.43,134585443.71,0.169505324598894,161750468.23,0.0253265923753778,1172835076.18,-0.0819286117026893,0.153465,0.600272,0.0129785,0.4787088688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:47:02
603799,016032,80126332,华友钴业,有色金属,shzb,003,001,2,2013-10-28T00:00:00,2013-03-31T00:00:00,5022751701.0,1037659804.96,400852347.83,-0.289184037443169,306370708.38,0.477335155962624,1254255567.51,0.671773176067346,3227972850.3,298103931.75,0.240423028271778,11553848.44,0.40334698419346,1794778850.7,0.145414007672812,0.555248,0.941491,0.0107594,0.642670202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:42:50
000504,016048,10000846,*ST生物,环保工程,,003,001,2,2013-10-28T00:00:00,2013-03-31T00:00:00,65050845.78,1495949.08,7522301.13,-0.189823639960166,23055957.87,-0.46539868244816,517261.36,-0.60439566457151,93642682.15,12698844.86,-0.0606713680406048,9127264.62,-0.258647649825844,-28591836.37,-1.21935808915518,-0.749394,-0.275386,0.00364801,1.4395305861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:44:21
002558,016060,80167147,巨人网络,文教休闲,zxb,003,001,2,2013-10-22T00:00:00,2013-03-31T00:00:00,610133244.11,310864479.49,83120908.07,-0.705107393923112,16618756.82,1.48844080619828,13994732.64,0.407358640985815,18535108.32,5790383.98,-0.257902698422509,3101349.44,-0.521070544093996,591598135.79,0.0197885997824327,0.023496,0.157867,0.09116117,0.0303787877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:43:45
601878,016027,80000206,浙商证券,券商信托,shzb,003,001,2,2013-10-18T00:00:00,2013-03-31T00:00:00,13653990600.0,299991100.0,7376395900.0,-,-,-,-,-,8212424700.0,-,-,-,-,5441565900.0,-,-,-,-,0.6014669953,-,-,-,-,245308600.0,-,-,-,-,-,-,-,1086507100.0,-,150000000.0,-,5045625200.0,-,-,-,-,-,-,-,2017-08-05T10:18:46
001696,016008,10001014,宗申动力,交运设备,szzb,003,001,2,2013-09-28T00:00:00,2013-03-31T00:00:00,4731808612.96,602845792.83,1015378593.94,-0.169771581278565,588529531.39,-0.0642981980821983,291837862.79,0.0233360582610376,1683413629.62,528272231.43,-0.0778643473587234,45066379.98,0.602921852282262,3048394983.34,0.0212310124794176,0.030541,0.04784,0.04381864,0.3557653674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:43:34
002939,016027,80000082,长城证券,券商信托,zxb,003,001,2,2013-09-17T00:00:00,2013-03-31T00:00:00,17456426948.51,197393719.35,5634872645.67,-,-,-,-,-,10913553200.89,-,-,-,-,6542873747.62,-,-,-,-,0.6251882606,-,-,-,-,3682071434.85,-,-,-,-,-,4099060976.12,-,641593049.41,-,350000000.0,-,6027253662.44,-,-,-,-,-,-,-,2019-07-10T12:42:52
