scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
003816,016007,80374408,中国广核,电力行业,zxb,003,001,2,2015-07-03T00:00:00,2014-03-31T00:00:00,129107341986.31,60664656662.32,7904782573.58,-,2236017461.59,-,9175014458.22,-,102190672360.45,9218157136.74,-,93673517.81,-,26916669625.86,-,-,-,0.00705822,0.7915171267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:19:54
000829,016015,10001121,天音控股,通讯行业,szzb,003,001,2,2015-04-27T00:00:00,2014-03-31T00:00:00,13611801538.69,359220250.65,3702337326.79,0.204304516585557,1246109416.86,-0.0454291077183492,5435312761.79,1.00840511755974,9959563444.61,1230621060.56,0.516982403670307,158573716.98,-0.363691211072453,3652238094.08,0.285596803404402,0.465807,0.545238,0.012836,0.7316859136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:01:04
002124,016009,80091784,天邦股份,农牧饲渔,zxb,003,001,2,2014-11-12T00:00:00,2014-03-31T00:00:00,1888398065.92,609410048.56,297481047.21,2.86397942516913,102526649.29,-0.148957424193262,424688091.85,0.362478064953015,1295612138.31,158171118.52,0.309364651612109,143333316.82,0.59419553071974,592785927.61,0.18894807831057,0.467082,0.642929,0.00762714,0.6860905874,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:56:22
300293,016043,80187273,蓝英装备,机械行业,cyb,003,001,2,2014-11-07T00:00:00,2014-03-31T00:00:00,1712350315.68,68176575.36,205025379.99,-0.582513257042504,214100992.08,0.240653084545618,83391670.93,0.586658840092996,996563587.96,288549359.42,21.7039691144889,36326924.55,3.06119603036073,715786727.72,0.125401746749148,0.19818,0.256544,0.01120894,0.5819858115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:56:20
603161,016035,80381026,科华控股,汽车行业,shzb,003,001,2,2014-10-28T00:00:00,2014-03-31T00:00:00,552184765.68,236327878.37,18898781.23,-,125371281.49,-,70653775.44,-,372609873.43,67084231.18,-,4722226.73,-,179574892.25,-,-,-,0.00784526,0.67479202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:55:42
603225,016026,80154170,新凤鸣,化纤行业,shzb,003,001,2,2014-10-16T00:00:00,2014-03-31T00:00:00,7116714942.95,3807011014.71,708532427.75,1.45649639072067,128211775.24,-0.169627982922728,498604767.17,-0.547567779794621,4832410916.43,310505261.28,-0.300849388060993,57029315.09,0.116802135707268,2284304026.52,0.0273787805077779,0.304623,0.495377,0.0077027,0.6790226889,-,-,-,-,0.0,-,-,-,-,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,2019-08-23T09:40:43
300575,016050,80380760,中旗股份,农药兽药,cyb,003,001,2,2014-10-16T00:00:00,2014-03-31T00:00:00,715270398.45,115253481.83,136465701.09,-,181540816.76,-,99886103.65,-,384605240.56,110455017.27,-,7371649.88,-,330665157.89,-,-,-,0.01167776,0.5377060779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:54:28
603966,016061,80393168,法兰泰克,专用设备,shzb,003,001,2,2014-10-11T00:00:00,2014-03-31T00:00:00,709204336.98,122790105.33,98657283.09,-,144976051.77,-,204401581.35,-,316792650.63,78614095.77,-,151527452.68,-,392411686.35,-,-,-,0.01671452,0.4466874131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:54:24
600671,016024,10000478,天目药业,医药制造,shzb,003,001,2,2014-09-30T00:00:00,2014-03-31T00:00:00,300134875.67,46710389.74,22869169.51,0.426137639472705,41640387.44,-0.294688017552416,60421483.99,-0.129689859508207,206001805.39,32398674.61,-0.202292556610405,4796590.75,0.244820312828417,94133070.28,-0.0421994888915414,-0.036965,-0.034555,0.00881615,0.6863641052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T12:54:22
601162,016027,80000124,天风证券,券商信托,shzb,003,001,2,2014-09-29T00:00:00,2014-03-31T00:00:00,6892397579.57,276166286.33,1763802545.4,-,-,-,-,-,4978654410.34,22464014.74,-,-,-,1913743169.23,-,-,-,-,0.7223399917,-,-,-,-,132783146.02,-,-,-,-,-,2720772868.18,-,235789740.89,-,186206986.75,-,1444010696.64,-,-,-,-,-,-,-,2017-08-05T10:39:17
