scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
600321,016004,10000262,ST正源,水泥建材,,003,001,2,2019-12-10T00:00:00,2018-03-31T00:00:00,3660554741.32,1651257525.06,43475963.16,1.58312913677035,138934556.1,0.17633875765751,339843795.33,0.0749630354140307,999402059.9,127827295.74,0.0895843682424898,13370740.26,3.33552486575249,2661152681.42,0.00693848604795664,0.259801,2.802236,0.01289335,0.2730192909,-,-,-,-,107811000.0,52.9055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-12-09T20:24:23
600671,016024,10000478,天目药业,医药制造,shzb,003,001,2,2019-08-28T00:00:00,2018-03-31T00:00:00,482065558.74,145533743.75,77038911.32,29.4491588380051,58929105.93,0.9004899678406,59564463.63,0.31760426463001,386444179.25,47571872.75,1.17481763756513,53028808.1,4.71745124436023,95621379.49,0.517765084096348,0.696581,0.747525,0.00908626,0.8016423747,-,-,-,-,1746600.0,-0.737550713749061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-08-27T22:07:30
002113,016057,80090023,ST天润,软件服务,,003,001,2,2019-07-17T00:00:00,2018-03-31T00:00:00,2826559132.27,3142351.84,332444515.45,0.741432994604258,106586891.19,0.33137874309093,-,-,482663013.68,72924865.5,5.02259912122168,2098317.53,0.0603266608571107,2343896118.59,1.45704262245464,1.510031,1.803648,0.02384716,0.1707599208,-,-,-,-,476000.0,-0.949767834529337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-16T19:06:12
300270,016055,80182868,中威电子,安防设备,cyb,003,001,2,2019-06-25T00:00:00,2018-03-31T00:00:00,1143491433.53,251037743.74,85591117.78,-0.188263959714821,322001528.31,0.155023337098097,84664435.62,-0.290291281952569,457603148.28,190250554.05,0.324819464207207,7239598.84,-0.394276918641847,685888285.25,0.0643426114538967,0.268043,0.778119,0.01675125,0.4001806527,-,-,-,-,2000000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-06-27T11:23:02
600712,016036,10000519,南宁百货,商业百货,shzb,003,001,2,2019-06-14T00:00:00,2018-03-31T00:00:00,2234706628.85,1102289124.66,393522923.98,0.870429905872419,8513501.02,2.30571236735906,169182572.13,0.178002236960905,1171207193.7,277840143.65,0.0270993701378066,90281209.48,-0.0258223137419756,1063499435.15,0.00172178837443432,0.100557,0.208862,0.00632141,0.5240988587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:37:49
300183,016014,80166377,东软载波,电子信息,cyb,003,001,2,2019-05-30T00:00:00,2018-03-31T00:00:00,3070737039.71,169760694.01,1373738921.51,0.115976690529919,303162375.92,0.170350252264796,174288072.4,-0.0125344704861866,324971614.33,107337862.95,-0.215375655607261,24323938.52,0.519534280382073,2745765425.38,0.0654945657504723,0.085848,0.294828,0.07823507,0.1058285389,-,-,-,-,35000000.0,-0.00341685649202733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:36:54
300786,016061,80201110,国林科技,专用设备,cyb,003,001,2,2019-05-06T00:00:00,2018-03-31T00:00:00,529284597.46,130575123.57,48423907.57,-,135425693.73,-,156757739.69,-,177559385.29,65180006.22,-,56479910.19,-,351725212.17,-,-,-,0.02173276,0.3354705316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:37:35
002967,016042,80278490,广电计量,综合行业,zxb,003,001,2,2019-04-30T00:00:00,2018-03-31T00:00:00,1426159373.87,509219910.76,224117889.36,-,286941574.13,-,10494980.28,-,688785844.07,35591192.38,-,17610216.86,-,737373529.8,-,-,-,0.01112725,0.4829655484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:36:49
300234,016040,80174269,开尔新材,材料行业,cyb,003,001,2,2019-04-26T00:00:00,2018-03-31T00:00:00,1188942025.96,242429360.33,62153218.82,-0.24564935260515,233232487.07,-0.121723754736861,184300903.86,0.099221048059196,188295923.89,76151520.18,-0.111922845940072,62330995.28,0.699349005549439,1000646102.07,-0.00818940197824226,0.00977,0.117283,0.03471217,0.1583726706,-,-,-,-,77100000.0,0.976923076923077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-12-04T14:19:42
002207,016023,80091162,ST准油,石油行业,,003,001,2,2019-04-25T00:00:00,2018-03-31T00:00:00,672006322.54,118656355.52,87081286.2,-0.262443174552781,108380749.59,0.00425453866308296,8406238.13,-0.432372798735904,336593073.64,80210786.49,-0.464228488930183,2283227.76,2.3594872335961,335413248.9,-0.176124492687478,-0.212148,-0.245043,0.00765677,0.5008778375,-,-,-,-,41725000.0,-0.443666666666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019-07-10T13:37:48
