scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
003816,中国广核,A股,深交所中小板,2019-07-31T00:00:00,2018-03-31T00:00:00,0.033,0.033,10927491471.26,9.0608,-9.8221,2485298070.62,-26.6346,229.3393,2.26,1.49697582,0.135563,46.9943,电力行业,-,-,058001001,069001002003,2018-04-18T00:00:00
002121,科陆电子,A股,深交所中小板,2019-07-30T00:00:00,2018-03-31T00:00:00,0.0219,-,802154590.67,12.954,-48.8815,30785231.79,-35.23,-83.6057,0.64,3.44719368,-0.008478,33.9673,仪器仪表,-,-,058001001,069001002003,2018-04-25T00:00:00
300787,海能实业,A股,深交所创业板,2019-07-29T00:00:00,2018-03-31T00:00:00,0.1662,0.1607,207374820.45,-,-,10582012.85,-,-,2.44,-,-,23.2641,电子元件,-,-,058001001,069001002002,2019-07-29T00:00:00
603983,丸美股份,A股,上交所主板,2019-07-24T00:00:00,2018-03-31T00:00:00,0.27,0.27,335043664.39,-,-,95957782.93,-,-,9.52,3.82,0.23,66.2952,化工行业,-,-,058001001,069001001001,2019-07-24T00:00:00
688321,微芯生物,A股,上交所科创板,2019-07-22T00:00:00,2018-03-31T00:00:00,0.0137,-,30900123.55,-,-,4922583.66,-,-,-,-,-,96.0783,医药制造,-,-,058001001,069001001006,2019-07-22T00:00:00
600479,千金药业,A股,上交所主板,2019-07-19T00:00:00,2018-03-31T00:00:00,0.0811,-,690326657.69,4.9763,-23.5021,33941603.37,22.367,-69.1929,1.79,5.48048721,0.059089,46.9472,医药制造,-,-,058001001,069001001001,2018-04-27T00:00:00
688188,柏楚电子,A股,上交所科创板,2019-07-19T00:00:00,2018-03-31T00:00:00,-,-,51726940.63,-,-,30044389.94,-,-,-,-,-,80.6296,软件服务,-,-,058001001,069001001006,2019-07-19T00:00:00
002450,*ST康得,A股,深交所风险警示板,2019-07-18T00:00:00,2018-03-31T00:00:00,0.2,-,3550359888.69,31.4831,51.8258,715283464.64,32.0953,20.2124,3.89,5.29952524,0.084845,38.7775,材料行业,-,-,058001001,069001002005,2018-04-20T00:00:00
002113,ST天润,A股,深交所风险警示板,2019-07-17T00:00:00,2018-03-31T00:00:00,-0.3628,-,131642720.61,208.7883,74.8692,-327126963.72,-6328.8282,-2111.1794,0.92,2.59975323,0.069677,43.9685,软件服务,-,-,058001001,069001002005,2018-04-27T00:00:00
002959,小熊电器,A股,深交所中小板,2019-07-15T00:00:00,2018-03-31T00:00:00,0.473,0.465,468258841.53,-,-,42572396.59,-,-,11.58,-,-,33.5492,家电行业,-,-,058001001,069001002003,2019-07-15T00:00:00
