scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
000038,深大通,A股,深交所主板,2020-01-23T00:00:00,2019-03-31T00:00:00,0.0081,-,587247032.18,29.5367,19.1211,4215289.37,-91.8897,100.1522,0.15,5.42630864,-0.115111,6.0566,文化传媒,-,-,058001001,069001002001,2019-04-30T00:00:00
600677,*ST航通,A股,上交所风险警示板,2020-01-21T00:00:00,2019-03-31T00:00:00,-0.04,-,755944040.69,-67.5526,1.708,-21828350.5,86.6812,98.6305,3.55,-0.13766506,0.223635,12.3924,通讯行业,-,-,058001001,069001001003,2019-04-30T00:00:00
002671,龙泉股份,A股,深交所中小板,2020-01-03T00:00:00,2019-03-31T00:00:00,-0.08,-,155749600.46,-16.7708,-42.1142,-36225087.31,-1283.614,68.1634,-1.83,4.15091101,-0.039371,22.9128,水泥建材,-,-,058001001,069001002003,2019-04-10T00:00:00
600882,妙可蓝多,A股,上交所主板,2019-12-21T00:00:00,2019-03-31T00:00:00,-0.0113,-,297960428.17,57.5182,-34.8106,-4631832.6,77.0064,-130.086,-0.38,2.97254492,0.062455,25.7629,食品饮料,-,-,058001001,069001001001,2019-04-27T00:00:00
600321,ST正源,A股,上交所风险警示板,2019-12-10T00:00:00,2019-03-31T00:00:00,0.002,-,393142420.68,2.439,-15.5501,3090107.76,25.3072,-82.8814,0.1148,1.78330021,-0.093846,12.2332,水泥建材,-,-,058001001,069001001003,2019-12-10T00:00:00
002175,*ST东网,A股,深交所风险警示板,2019-12-06T00:00:00,2019-03-31T00:00:00,-0.0255,-,51589816.34,15.0918,-29.6521,-19390636.84,52.5417,97.255,-9.51,0.27058322,-0.013515,20.52,文化传媒,-,-,058001001,069001002005,2019-04-29T00:00:00
000088,盐田港,A股,深交所主板,2019-12-05T00:00:00,2019-03-31T00:00:00,0.03,-,126444254.32,40.2506,14.0525,54648764.15,-3.5022,-63.6462,0.81,3.50615081,0.022415,37.8635,港口水运,-,-,058001001,069001002001,2019-04-27T00:00:00
002005,*ST德豪,A股,深交所风险警示板,2019-11-18T00:00:00,2019-03-31T00:00:00,-0.0086,-,662479952.98,-23.8615,-35.027,-15160527.63,-604.5663,99.6192,-0.67,1.25507009,0.095182,13.8629,家电行业,-,-,058001001,069001002005,2019-04-30T00:00:00
002740,爱迪尔,A股,深交所中小板,2019-11-18T00:00:00,2019-03-31T00:00:00,0.04,-,340186427.64,-22.3966,-8.6026,15012267.95,58.2466,232.2777,0.68,6.1598148,0.159698,23.5603,珠宝首饰,-,-,058001001,069001002003,2019-04-26T00:00:00
688166,博瑞医药,A股,上交所科创板,2019-10-31T00:00:00,2019-03-31T00:00:00,0.04,0.01,89460220.04,-,-41.4901,16120877.11,-,-49.3566,2.07,2.12947753,-0.037019,62.9687,医药制造,-,-,058001001,069001001006,2019-08-16T00:00:00
