scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
688196,016048,80374286,卓越新能,环保工程,003,001,2,,2019-10-31T00:00:00,2019-03-31T00:00:00,13503872.22,1.49255904747234,277630013.12,30.6859529756511,12228691.01,1.35161552985424,-20917480.82,-2.31197205805759,-,-,20917480.82,2.31197205805759,-398024.97,-0.04399299404015,-9047462.64,-,-,-,-,-,-,-,-,-,-,222447461.95,24.5867234606232,213399999.31,23.5867234606232,-,-,-,-,2019/10/30 19:50:57,-,-
688199,016041,80166974,久日新材,化工行业,003,001,2,,2019-10-30T00:00:00,2019-03-31T00:00:00,11957112.26,0.299699230145575,277508704.77,6.95562133814613,32743878.91,0.820709472983315,-34907339.58,-0.874935567306965,-,-,32907339.58,0.824806535542639,-16457412.25,-0.412497070719428,-39897040.29,-2.67427506869854,-,-,-,-,-,-,-,2000000.0,0.0501290317643259,121737776.7,3.05129843755636,81840736.41,2.05129843755636,-,-,-,-,2019/10/29 20:12:33,-,-
688363,016024,80352158,华熙生物,医药制造,003,001,2,,2019-10-30T00:00:00,2019-03-31T00:00:00,680018.48,0.00583608934182809,339872331.96,2.9168696917384,110757125.31,0.95054545951929,-110012417.71,-0.944154191906771,2779684.38,0.0238559493026778,109792102.09,0.942263387936679,-1342848.11,-0.011524659656992,-116519545.91,-,-,-,-,-,-,-,-,-,-,840918749.17,7.2169758524422,724399203.26,6.2169758524422,-,-,-,-,2019/10/29 19:23:00,-,-
688111,016057,80642023,金山办公,软件服务,003,001,2,,2019-10-30T00:00:00,2019-03-31T00:00:00,-2928776.26,-0.232043920280453,300297519.46,23.7922625287853,222243824.28,17.6081488191424,-7756692.1,-0.614554709376269,10833414.91,0.858320282117115,12840379.48,1.01733001360366,-,-,-12621646.18,-,-,-,-,-,-,-,-,976060000.0,77.3322264053515,186332021.92,14.7628937828457,173710375.74,13.7628937828457,-,-,-,-,2019/11/15 9:42:12,-,-
000652,016042,10000975,泰达股份,综合行业,003,001,2,szzb,2019-10-25T00:00:00,2019-03-31T00:00:00,397275064.81,4.39884031781951,3713330850.51,41.1159695271547,55465530.27,0.614143782010586,-331171924.55,-3.66691127352061,12737677.0,0.141038318550799,149874415.28,1.65948905164383,-156309060.8,-1.73073686116288,-90313590.88,-1.85110786951224,-,-,-,-,-,-,-,-,-,352726248.98,3.90557219066473,262412658.1,2.90557219066473,-,-,-,-,2019/10/24 20:25:57,-,-
688159,016015,80462544,有方科技,通讯行业,003,001,2,,2019-10-23T00:00:00,2019-03-31T00:00:00,15778846.24,7.37504076141412,177727170.37,83.069769864843,18607503.88,8.69715678167173,-39685224.65,-18.5488941946637,302327.1,0.14130784037478,17987551.75,8.40739084065604,26045871.16,12.1738534332495,2139492.75,-,-,-,-,-,-,-,-,-,-,77142893.9,36.0566278619079,79282386.65,37.0566278619079,-,-,-,-,2020/2/27 10:42:10,-,-
688051,016057,80995295,佳华科技,软件服务,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,-45153982.69,-0.805802964559558,67528685.81,1.20509447842261,22497693.41,0.40148635769276,-27437924.03,-0.489648071057759,-,-,26644245.81,0.475484353385874,128627916.36,2.29545103561732,56036009.64,-,-,-,-,-,-,-,-,-,-,94177710.38,1.68066411197084,150213720.02,2.68066411197084,-,-,-,-,2019/10/22 17:17:24,-,-
688139,016047,80118026,海尔生物,医疗行业,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,45696588.5,0.182176818166597,223086049.52,0.889368506773969,39924693.58,0.159166228408512,784935966.4,3.12927379301575,34830549.64,0.138857602212667,41131583.25,0.163977688676683,-580239493.61,-2.31321829900863,250836461.85,-,-,-,-,-,-,-,-,472154949.99,1.88232183833126,350216153.07,1.39619316301563,601052614.92,2.39619316301563,-,-,-,-,2019/10/21 19:07:12,-,-
688100,016014,80308207,威胜信息,电子信息,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,101557034.46,2.5418558072164,277835768.55,6.95390984481144,40398918.67,1.0111384856068,-140925631.98,-3.52720653905163,374023.24,0.0093613716635488,1299655.22,0.0325288758765131,-,-,-39953892.81,-,-,-,-,-,-,-,-,-,-,520149654.74,13.0187478154773,480195761.93,12.0187478154773,-,-,-,-,2019/10/22 17:07:26,-,-
688128,016061,80114911,中国电研,专用设备,003,001,2,,2019-10-17T00:00:00,2019-03-31T00:00:00,6221815.18,0.194319014124484,575249793.31,17.9661351996818,169566712.9,5.29588802074598,-40389329.19,-1.26143487106122,-,-,40745792.41,1.27256788923648,2339045.15,0.0730527883569593,-32018560.86,-,-,-,-,-,-,-,-,-,-,278046928.52,8.68392960369925,246028367.66,7.68392960369925,-,-,-,-,2019/12/26 13:21:24,-,-
603610,016030,80923812,麒盛科技,木业家具,003,001,2,shzb,2019-10-16T00:00:00,2019-03-31T00:00:00,16750208.38,0.0893572256913313,483183193.49,2.57763418170348,102017794.6,0.544233653086296,-56878828.24,-0.303431108246317,187298.65,0.000999180867487911,32601085.89,0.173916796947645,-138240320.96,-0.737469724520812,-187452198.19,-,-,-,-,-,-,-,-,-,-,429304301.95,2.29020681589906,241852103.76,1.29020681589906,-,-,-,-,2019/10/16 0:11:30,-,-
688037,016061,80595307,芯源微,专用设备,003,001,2,,2019-10-11T00:00:00,2019-03-31T00:00:00,-20519718.35,-0.886540718242783,28763446.36,1.24270547773538,17624195.44,0.761441585957674,-2480054.51,-0.107149097715401,37928.49,0.00163867506331851,1640974.78,0.0708972187271514,-,-,-23145827.29,-,-,-,-,-,-,-,-,45000000.0,1.94419492706756,54713974.31,2.3638806954046,31568147.02,1.3638806954046,-,-,-,-,2019/10/11 17:15:31,-,-
000607,016039,10000943,华媒控股,文化传媒,003,001,2,szzb,2019-09-30T00:00:00,2019-03-31T00:00:00,-143364655.19,-0.689870389294124,305817103.22,1.47159119360055,131403144.94,0.632311629627894,-143188738.76,-0.689023879839709,14728.77,7.08748071849188e-05,3095441.92,0.0148952593619233,78739495.26,0.378894269133833,-207813898.69,-0.357546391097477,-,-,-,-,-,-,-,182329300.0,0.877368170027858,894104918.75,4.302430801723,686291020.06,3.302430801723,-,-,-,-,2019/9/29 19:43:32,-,-
000981,016035,10001231,ST银亿,汽车行业,003,001,2,,2019-09-25T00:00:00,2019-03-31T00:00:00,228522368.18,1.88469238953884,1862735235.83,15.3625351892441,399111213.8,3.29158967333992,20841811.48,0.171888659273911,3906990.38,0.0322221194092803,539396953.89,4.44856817314345,-127821957.96,-1.05418595694498,121251812.47,2.30363999477098,-,-,-,-,-,-,-,-,-,747484983.09,6.16473245111237,868736795.56,7.16473245111237,-,-,-,-,2019/9/24 20:00:09,-,-
688030,016057,80994714,山石网科,软件服务,003,001,2,,2019-09-24T00:00:00,2019-03-31T00:00:00,-51315052.17,-0.923912028138532,146066502.66,2.62988329951654,76036507.35,1.36901436805669,-410406.71,-0.00738924895840678,-,-,410406.71,0.00738924895840678,-3422858.04,-0.061627526038364,-55541058.68,-,-,-,-,-,-,-,-,-,-,221073493.64,3.98036153602537,165532434.96,2.98036153602537,-,-,-,-,2019/10/8 16:21:00,-,-
002758,016024,80200665,华通医药,医药制造,003,001,2,zxb,2019-09-17T00:00:00,2019-03-31T00:00:00,-56552948.62,-1.10700128028466,411890371.77,8.06258877764444,27388186.86,0.536112769688073,-10634273.23,-0.208161632023969,-,-,10634393.23,0.208163980975826,16100606.48,0.31516291230863,-51086615.37,-0.662941148614244,-,-,-,-,-,-,-,-,-,187712042.5,3.67438792216859,136625427.13,2.67438792216858,-,-,-,-,2019/9/16 22:27:24,-,-
601077,016029,80133821,渝农商行,银行,003,001,2,shzb,2019-09-10T00:00:00,2019-03-31T00:00:00,26656439000.0,8.52893602507445,-,-,-,-,-16760519000.0,-5.3626590670286,2947524000.0,0.943083343891941,115848000.0,0.0370664731561791,-12984727000.0,-4.1545649021633,-3125412000.0,0.690997588319291,-,-,19015128000.0,6.08403884031929,-,-,-,-,-,-,-,-,-,-,-,-,-,2020/1/14 14:38:18,60037464000.0,19.2094559053334
601118,016018,80094508,海南橡胶,塑胶制品,003,001,2,shzb,2019-08-31T00:00:00,2019-03-31T00:00:00,261024145.4,2.43585586442901,1660227364.84,15.4931052709082,280018367.12,2.61310837988511,260273901.79,2.42885465274276,1099455.22,0.0102600257198815,133366451.75,1.24456476283257,-626154235.72,-5.84321984764413,-107159109.54,-1.12050925252521,-,-,-,-,-,-,-,280980400.0,2.62208599162647,3255846872.37,30.3832953292195,3148687762.83,29.3832953292195,-,-,-,-,2019/8/30 21:10:39,-,-
000971,016014,10001222,*ST高升,电子信息,003,001,2,,2019-08-30T00:00:00,2019-03-31T00:00:00,-43864889.52,-20.5712385026348,186689632.67,87.5515019335184,63887418.99,29.9611682086154,67548556.91,31.6781254873752,1136712.33,0.533081941051147,3588155.42,1.68273080673524,-21513660.0,-10.0892225141205,2132340.72,1.05578501396421,-,-,-,-,-,-,-,-,-,423508014.81,198.611793527068,425640355.53,199.611793527068,-,-,-,-,2019/8/29 18:58:56,-,-
300726,016022,80548929,宏达电子,电子元件,003,001,2,cyb,2019-08-30T00:00:00,2019-03-31T00:00:00,-6257385.32,-0.263173063903621,133885086.18,5.63093792999645,51448436.94,2.16381796711091,-17519308.34,-0.736826936096379,-,-,41298214.51,1.73691998982503,-,-,-23776693.66,0.701030596935239,-,-,-,-,-,-,-,1500000.0,0.0630869885211786,290292202.97,12.2091072510374,266515509.31,11.2091072510374,-,-,-,-,2019/8/29 21:52:57,-,-
002167,016032,80027142,东方锆业,有色金属,003,001,2,zxb,2019-08-30T00:00:00,2019-03-31T00:00:00,-22599399.91,-0.217245721015069,87910989.91,0.84507935893004,16183598.93,0.155571282076868,-16855777.23,-0.162032863358483,520000.0,0.00499870684078867,16980032.35,0.163227315124535,-64599025.86,-0.620983831682051,-104026904.67,-0.918850953322668,-,-,-,-,-,-,-,-,-,111289050.84,1.06981026872844,7262146.17,0.0698102687284351,-,-,-,-,2019/8/29 21:58:36,-,-
002638,016022,80188238,勤上股份,电子元件,003,001,2,zxb,2019-08-29T00:00:00,2019-03-31T00:00:00,-40337972.55,-0.074790456148826,339553130.11,0.629563953820692,63319712.2,0.117400797791221,-67224434.39,-0.124640525900078,-,-,839734.39,0.00155694781124928,-431487404.63,-0.800018884805125,-539346523.97,-6.48373633569868,-,-,-,-,-,-,-,101500000.0,0.188190700206767,2009746265.67,3.7262616450677,1470399741.7,2.7262616450677,-,-,-,-,2019/8/28 19:45:53,-,-
600671,016024,10000478,天目药业,医药制造,003,001,2,shzb,2019-08-28T00:00:00,2019-03-31T00:00:00,38750738.27,1.78237712584842,59826667.34,2.75178456316308,9784532.88,0.450048911866157,-932586.7,-0.0428952137729287,-,-,986386.7,0.0453697960299817,-59559194.87,-2.73948191207549,-21741043.3,-1.59708118177508,-,-,-,-,-,-,-,-,-,86554226.79,3.98114412430244,64813183.49,2.98114412430244,-,-,-,-,2019/8/27 22:17:56,-,-
300140,016020,80107810,中环装备,输配电气,003,001,2,cyb,2019-08-28T00:00:00,2019-03-31T00:00:00,-70236324.57,-0.139496532548772,543801282.89,1.08004503115942,84214198.52,0.167258021498631,-264296402.95,-0.524919719281346,-,-,48101857.97,0.0955352153895956,838184670.05,1.66472058188325,503498712.74,9.17203190909954,-,-,-,-,1848.37,3.67105208659088e-06,-,216200304.98,0.429395943841554,153963543.83,0.305787363372078,657462256.57,1.30578736337208,-,-,-,-,2019/8/27 20:56:57,-,-
300324,016057,80188843,旋极信息,软件服务,003,001,2,cyb,2019-08-27T00:00:00,2019-03-31T00:00:00,-237522570.2,-0.719255680029696,686277191.81,2.07815521644339,138490131.34,0.419369887714164,109360052.49,0.331159429840904,583819.46,0.00176789709863484,2175732.86,0.00658846111535658,-201162668.57,-0.609152182283449,-330233847.01,0.0548578252818385,-,-,-,-,-,-,-,23315000.0,0.0706014850116014,2310857544.09,6.9976398997648,1980623697.08,5.9976398997648,-,-,-,-,2019/8/26 20:54:59,-,-
300168,016057,80158031,万达信息,软件服务,003,001,2,cyb,2019-08-27T00:00:00,2019-03-31T00:00:00,-886948886.93,-6.05686808792669,268856785.79,1.83599090102078,289855176.47,1.97938640473209,-108781760.96,-0.742857662054987,10240262.08,0.0699295275278392,122233222.72,0.834716088927944,1142215251.47,7.80005162430268,146436883.56,1.23584690080007,-,-,-,-,-,-,-,-,-,1041109161.16,7.10961020099436,1187546044.72,8.10961020099436,-,-,-,-,2019/8/26 20:45:26,-,-
002393,016024,80064300,力生制药,医药制造,003,001,2,zxb,2019-08-23T00:00:00,2019-03-31T00:00:00,50535196.57,1.21068309937547,364669409.3,8.7364672676635,51652884.46,1.2374598001829,-8004679.76,-0.191769917980254,-,-,8008479.76,0.191860955437113,-789456.25,-0.0189131813952166,41741060.56,1.06270190227906,-,-,-,-,-,-,-,-,-,1480920069.73,35.4787360422066,1522661130.29,36.4787360422066,-,-,-,-,2019/8/22 20:01:30,-,-
603508,016014,80078700,思维列控,电子信息,003,001,2,shzb,2019-08-19T00:00:00,2019-03-31T00:00:00,8516073.04,0.119045708851536,185837633.99,2.59781389446983,56798574.82,0.793984101527143,-170278143.36,-2.38030864495905,5265701.48,0.0736089465582113,9414874.33,0.131610001828141,90225908.94,1.26126293610752,-71536161.38,-0.313103724696034,-,-,-,-,-,-,-,337471937.94,4.71750135078327,276348083.72,3.86305441037071,204811922.34,2.86305441037071,-,-,-,-,2019/8/18 15:07:01,-,-
603992,016059,80902073,松霖科技,金属制品,003,001,2,shzb,2019-08-13T00:00:00,2019-03-31T00:00:00,44039068.7,0.634695424985166,406130143.09,5.8531878937711,94873606.95,1.36732783095856,-51681339.79,-0.744836593736071,-,-,58788930.79,0.847271900011423,-59988918.23,-0.86456623798655,-69386144.86,-,-,-,-,-,-,-,-,-,-,621264064.32,8.95371929905489,551877919.46,7.95371929905489,-,-,-,-,2019/8/13 0:57:28,-,-
688200,016061,80994896,华峰测控,专用设备,003,001,2,,2019-08-07T00:00:00,2019-03-31T00:00:00,14263595.16,0.115572865326532,60080982.61,0.486814946300764,29670083.38,0.240406188779107,-854157.51,-0.0069209361148803,-,-,912650.67,0.00739488549632106,110705700.0,0.897009121014583,123416470.81,-,-,-,-,-,-,-,-,-,-,111978782.74,0.907324460058428,235395253.55,1.90732446005843,-,-,-,-,2019/8/7 18:20:35,-,-
300162,016022,80160478,雷曼光电,电子元件,003,001,2,cyb,2019-08-02T00:00:00,2019-03-31T00:00:00,-20780596.49,-0.535790870761754,185292597.5,4.77744140828713,31886873.5,0.822146550348367,7842234.22,0.20219811801232,-,-,5900673.29,0.152138408618401,-23746513.55,-0.612261788473343,-38784902.14,-2.01125258489498,-,-,-,-,-,-,-,-,-,144219796.68,3.71845199349522,105434894.54,2.71845199349522,-,-,-,-,2019/8/2 20:30:21,-,-
003816,016007,80374408,中国广核,电力行业,003,001,2,zxb,2019-07-31T00:00:00,2019-03-31T00:00:00,6252811183.54,27.6205293804369,15645379826.04,69.1103026252877,1796130452.13,7.93404317960991,-3301680670.06,-14.5845069162289,132110605.4,0.583571892834954,4156924557.56,18.3623738993735,-3114429778.12,-13.757363954363,-226382742.25,-1.11393741260143,-,-,-,-,-,-,-,-,-,11637718842.72,51.4072703910803,11411336100.47,50.4072703910803,-,-,-,-,2019/7/31 7:48:42,-,-
002121,016021,80089817,科陆电子,仪器仪表,003,001,2,zxb,2019-07-30T00:00:00,2019-03-31T00:00:00,64590236.14,0.124892365449768,821101676.59,1.58769090798521,115754024.14,0.223823208415571,441477994.1,0.853646530377397,99093776.0,0.191608775963665,54351515.38,0.105094666427204,-1023235439.84,-1.97853889582717,-517167209.6,-1.79469481351068,-,-,-,-,-,-,-,23199000.0,0.0448578323787062,952938667.18,1.84261231085599,435771457.58,0.84261231085599,-,-,-,-,2019/7/29 21:00:33,-,-
300787,016022,80431588,海能实业,电子元件,003,001,2,cyb,2019-07-29T00:00:00,2019-03-31T00:00:00,-32476005.46,-1.20001031293331,263481018.35,9.73580139563659,66356605.16,2.45192133069814,-37185536.26,-1.37403065345942,305547.51,0.0112901866438808,58108762.62,2.14715798412091,43098888.34,1.59253300248586,-27063105.3,0.472504786384512,-,-,-,-,-,-,-,88500000.0,3.27013470992924,99009395.83,3.65846397641589,71946290.53,2.65846397641589,-,-,-,-,2019/7/29 0:33:30,-,-
603983,016041,80374294,丸美股份,化工行业,003,001,2,shzb,2019-07-24T00:00:00,2019-03-31T00:00:00,46989836.92,0.101420158029406,449325285.44,0.969797821037698,36755475.85,0.0793309024566204,-510288589.42,-1.1013775056868,1632054.79,0.00352253307446569,1920944.21,0.00414605536247246,-,-,-463318514.12,0.0590965857087071,-,-,-,-,-,-,-,580000000.0,1.25183859984878,1563449985.59,3.3744604153355,1100131471.47,2.3744604153355,-,-,-,-,2019/7/23 19:17:04,-,-
688321,016024,80988890,微芯生物,医药制造,003,001,2,,2019-07-22T00:00:00,2019-03-31T00:00:00,9709957.39,0.125920062543937,55195202.44,0.715778974532664,24853257.19,0.322300456540454,9689810.87,0.125658799702449,565197.26,0.00732955578179544,31875386.39,0.413364393542509,58450700.0,0.757996714518734,77112075.66,-0.320085269649273,-,-,-,-,-,-,-,-,-,131271119.77,1.70234193083838,208383195.43,2.70234193083838,-,-,-,-,2019/7/21 20:37:51,-,-
688188,016057,80445616,柏楚电子,软件服务,003,001,2,,2019-07-19T00:00:00,2019-03-31T00:00:00,32963569.88,0.314499572385769,78861337.86,0.752402034276868,23910992.96,0.228130541947211,-97776335.22,-0.932866668509559,2045847.34,0.0195190665312905,89592182.56,0.854783119874509,-40000000.0,-0.38163290387621,-104812765.34,-12.7947090160292,-,-,-,-,-,-,-,168600000.0,1.60858268983823,132275226.42,1.2620144692387,27462461.08,0.262014469238695,-,-,-,-,2019/7/19 3:08:47,-,-
600479,016024,10001335,千金药业,医药制造,003,001,2,shzb,2019-07-19T00:00:00,2019-03-31T00:00:00,48074675.33,0.372867526904363,819843428.81,6.35871151808729,118094892.88,0.915944836776108,83595762.74,0.648369335800727,40438.36,0.000313640210396993,7771731.24,0.0602776032772467,-2738117.98,-0.0212368627050896,128932320.09,2.11591271924062,-,-,-,-,-,-,-,210216491.28,1.63044061514801,961190257.54,7.4549985362014,1090122577.63,8.4549985362014,-,-,-,-,2019/7/18 15:59:29,-,-
688398,016040,80429437,赛特新材,材料行业,003,001,2,,2019-07-18T00:00:00,2019-03-31T00:00:00,5436354.49,0.256930910525394,76479208.91,3.6145311748256,16264047.01,0.768665180829131,-15890947.07,-0.751031873899367,-,-,16051322.07,0.758611455924657,-9974721.05,-0.471421458318718,-21158818.45,-,-,-,-,-,-,-,-,-,-,30333709.85,1.43362021474313,9174891.4,0.433620214743135,-,-,-,-,2019/7/18 17:29:23,-,-
002959,016019,80914771,小熊电器,家电行业,003,001,2,zxb,2019-07-15T00:00:00,2019-03-31T00:00:00,-3654582.77,-0.235228126646391,654166681.05,42.1056007161875,69064755.27,4.44537010703784,-14446292.23,-0.92983918332467,916522.31,0.0589921858606373,15362814.54,0.988831369185307,2396109.58,0.154226187560905,-15536334.12,0.380590412810923,-,-,-,-,-,-,-,-,-,182532527.63,11.7487514248953,166996193.51,10.7487514248953,-,-,-,-,2019/7/15 1:05:15,-,-
