scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
000652,016042,10000975,泰达股份,综合行业,003,001,2,szzb,2019-10-25T00:00:00,2019-03-31T00:00:00,-9865710.38,3759117841.61,3872498370.27,0.0423923910300127,3599720603.22,0.00955048200971145,13883453.88,67147107.2,181790644.97,-40684106.53,-40643293.31,-558158.28,-,-,-,-,-,6259158.54,-,-,-,-,-,-,-,-,0.030754,-0.569118,0.229099,-11908489.02,0.1983783753,2019/10/24 20:25:26,3599720603.22
688159,016015,80462544,有方科技,通讯行业,003,001,2,,2019-10-23T00:00:00,2019-03-31T00:00:00,15441187.96,160911326.54,147550204.65,-,117718941.27,-,4129653.4,8283801.06,799449.96,17337143.42,17340052.24,1898864.28,-,-,-,-,-,568318.42,-,-,-,-,-,-,-,-,-,-,-,13847278.73,-,2020/2/27 10:40:42,117718941.27
688139,016047,80118026,海尔生物,医疗行业,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,28695750.24,201021579.29,166918740.26,-,96593072.01,-,25419382.25,19347888.11,783228.83,32740192.3,32896283.14,4232172.63,-,-,-,-,-,2508404.38,-,-,-,-,-,-,-,-,-,-,-,22924398.54,-,2019/10/21 19:08:12,96593072.01
688100,016014,80308207,威胜信息,电子信息,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,28083141.12,228159758.26,199676112.15,-,156918757.51,-,13154680.66,8080946.59,-549666.77,31986601.06,32086601.06,4039014.98,-,-,-,-,-,1735123.66,-,-,-,-,-,-,-,-,-,-,-,25580039.94,-,2020/1/8 11:58:28,156918757.51
688051,016057,80995295,佳华科技,软件服务,003,001,2,,2019-10-22T00:00:00,2019-03-31T00:00:00,4027978.63,60054600.49,56502484.94,-,34200875.32,-,5350651.67,8976384.83,2495185.63,7214472.81,6713926.27,2878472.72,-,-,-,-,-,571257.34,-,-,-,-,-,-,-,-,-,-,-,3535501.7,-,2019/10/22 17:18:23,34200875.32
688128,016061,80114911,中国电研,专用设备,003,001,2,,2019-10-17T00:00:00,2019-03-31T00:00:00,53455988.79,675994839.71,623335477.28,-,490021860.09,-,63098429.75,34718163.54,1641979.74,60818270.47,61056814.95,7933758.2,-,-,-,-,-,5232740.09,-,-,-,-,-,-,-,-,-,-,-,45864302.29,-,2019/10/17 2:17:17,490021860.09
603610,016030,80923812,麒盛科技,木业家具,003,001,2,shzb,2019-10-16T00:00:00,2019-03-31T00:00:00,65354383.62,514105847.28,437861475.04,-,306652449.61,-,62658307.22,40907468.81,10877411.17,78887153.35,78710440.56,13556438.28,-,-,-,-,-,1388573.85,-,-,-,-,-,-,-,-,-,-,-,60487985.21,-,2020/1/8 11:57:51,306652449.61
688037,016061,80595307,芯源微,专用设备,003,001,2,,2019-10-11T00:00:00,2019-03-31T00:00:00,-9025228.43,10305301.61,23146122.26,-,6401359.39,-,4605420.83,6360367.58,44855.62,-11225878.3,-11216878.3,-2191649.87,-,-,-,-,-,668283.42,-,-,-,-,-,-,-,-,-,-,-,-10486530.16,-,2019/10/11 17:16:34,6401359.39
000607,016039,10000943,华媒控股,文化传媒,003,001,2,szzb,2019-09-30T00:00:00,2019-03-31T00:00:00,-9950502.56,356636813.43,369346979.52,0.0775532115002634,289805635.68,0.0978285961478788,30528514.38,40313452.87,2525606.37,-9067188.39,-7438664.54,303643.71,-,-,-,-,-,4054939.22,-,-,-,-,-,-,-,-,0.07052,-0.373256,0.250456,-12576350.32,0.0729909143,2020/1/8 11:57:33,289805635.68
000981,016035,10001231,ST银亿,汽车行业,003,001,2,,2019-09-25T00:00:00,2019-03-31T00:00:00,29855158.72,2418882724.63,2337220707.32,0.120285645327727,1935188481.9,0.120346907839783,36096299.0,220821904.94,97478274.01,71736711.42,76940002.05,9732923.05,-,-,-,-,-,793400.88,-,-,-,-,-,-,-,-,0.037749,-0.870838,-0.931033,39018450.98,-0.7945516439,2019/9/24 19:59:59,1935188481.9
688030,016057,80994714,山石网科,软件服务,003,001,2,,2019-09-24T00:00:00,2019-03-31T00:00:00,-51971686.56,73561741.13,133333964.01,-,22070947.82,-,53604629.76,11712804.45,703358.09,-51997967.07,-51937255.75,34430.81,-,-,-,-,-,4122368.15,-,-,-,-,-,-,-,-,-,-,-,-55075264.78,-,2020/1/8 11:57:36,22070947.82
002758,016024,80200665,华通医药,医药制造,003,001,2,zxb,2019-09-17T00:00:00,2019-03-31T00:00:00,6248309.59,415510282.75,407069249.05,0.0668972372460851,354869876.42,0.0468779025256405,28286006.01,13097442.28,6287043.74,8449513.34,7596758.19,2377053.44,-,-,-,-,-,1938554.03,-,-,-,-,-,-,-,-,0.065578,-0.041601,-0.188034,5163719.91,-0.090612343,2020/1/8 11:56:42,354869876.42
601077,016029,80133821,渝农商行,银行,003,001,2,shzb,2019-09-10T00:00:00,2019-03-31T00:00:00,3307679000.0,6666465000.0,2591505000.0,-,2591505000.0,0.376444493781181,-,1084881000.0,-,4074960000.0,4076965000.0,729358000.0,6666465000.0,5839526000.0,-0.00536550078887391,578686000.0,-,52601000.0,1084881000.0,-,-,-,-,-,-,-,-0.015265,-,0.294292,2525014000.0,-,2019/9/10 2:43:55,-
601118,016018,80094508,海南橡胶,塑胶制品,003,001,2,shzb,2019-08-31T00:00:00,2019-03-31T00:00:00,16949893.37,1575627094.39,1588117814.93,0.071318449602549,1478707591.82,0.442874189529224,30273241.51,123976036.01,18083775.43,39315501.74,45166365.6,30055134.52,-,-,-,-,-,4550222.6,-,-,-,-,-,-,-,-,0.44138,1.139474,1.067024,-31469692.23,0.9101834457,2019/8/30 21:10:08,1478707591.82
002167,016032,80027142,东方锆业,有色金属,003,001,2,zxb,2019-08-30T00:00:00,2019-03-31T00:00:00,1909417.21,102828219.92,105711524.43,-0.183329865172269,67383322.12,-0.333330809850693,1448817.75,13823542.75,22996045.58,2726605.98,2627051.11,400727.48,-,-,-,-,-,452960.31,-,-,-,-,-,-,-,-,-0.275538,-0.765703,-0.853508,-1205598.23,-1.1032957019,2019/8/29 21:59:02,67383322.12
300726,016022,80548929,宏达电子,电子元件,003,001,2,cyb,2019-08-30T00:00:00,2019-03-31T00:00:00,55135199.26,186581165.84,125883362.74,0.406103650907344,59673075.47,0.402497331117209,28993896.84,15406271.77,-1937693.75,68921861.76,71951957.74,14837750.1,-,-,-,-,-,2213199.31,-,-,-,-,-,-,-,-,0.357311,0.430844,0.30068,52008629.04,0.2670265237,2019/8/29 21:53:35,59673075.47
000971,016014,10001222,*ST高升,电子信息,003,001,2,,2019-08-30T00:00:00,2019-03-31T00:00:00,44978054.2,183919908.63,175539417.37,-0.128298475451314,129171700.7,-0.228054043096164,5701992.06,30437743.12,-576043.76,59597435.44,59195200.16,14501861.03,-,-,-,-,-,369595.04,-,-,-,-,-,-,-,-,-0.177023,1.691362,1.575998,6836316.28,-0.603251852,2019/8/29 18:58:55,129171700.7
002638,016022,80188238,勤上股份,电子元件,003,001,2,zxb,2019-08-29T00:00:00,2019-03-31T00:00:00,2686962.5,276196307.46,273987148.31,-0.0387717076327684,223114502.05,-0.0315379932081824,26411849.53,26187243.54,-4175097.32,4823152.14,5301390.01,2619978.16,-,-,-,-,-,1801685.66,-,-,-,-,-,-,-,-,-0.130134,-0.920378,-0.950912,2280460.31,-0.9586988844,2019/8/28 19:44:51,223114502.05
600671,016024,10000478,天目药业,医药制造,003,001,2,shzb,2019-08-28T00:00:00,2019-03-31T00:00:00,-1874831.33,75708330.55,77999267.37,-0.147642107564051,43685998.91,-0.278180509402729,21254664.82,10089121.19,1794315.91,-2290936.82,-861246.18,144279.74,-,-,-,-,-,920903.36,-,-,-,-,-,-,-,-,-0.162258,-1.012993,0.004209,-3304521.97,-0.4393656559,2019/8/27 22:18:31,43685998.91
300140,016020,80107810,中环装备,输配电气,003,001,2,cyb,2019-08-28T00:00:00,2019-03-31T00:00:00,11577689.93,410492205.05,388764263.46,0.415404160896076,290869680.45,0.504620990472377,22775140.75,55022729.23,18608246.4,24347657.52,24513279.6,12997841.26,-,-,-,-,-,4073687.94,-,-,-,-,-,-,-,-,0.653811,2.015665,1.457579,8965790.82,1.3216925223,2019/8/27 21:01:53,290869680.45
300168,016057,80158031,万达信息,软件服务,003,001,2,cyb,2019-08-27T00:00:00,2019-03-31T00:00:00,18017292.13,380394842.03,369734022.46,0.207365993846276,203367700.68,0.252554921458856,18918335.13,74994086.81,33596713.97,25495123.51,25423578.58,10262684.01,-,-,-,-,-,1259041.6,-,-,-,-,-,-,-,-,0.234195,4.761815,2.671201,13941698.43,2.8029307439,2019/8/26 20:47:00,203367700.68
