scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode,firstnoticedate
688006,杭可科技,A股,上交所科创板,2019-07-09T00:00:00,2019-03-31T00:00:00,-,249830800.0,24.182289851859547,65.56696513425254,201180700.0,60638000.0,14.51935788479698,65.61078434660888,52950000.0,-,-,专用设备,058001001,069001001006,2019-07-09T00:00:00
603613,国联股份,A股,上交所主板,2019-07-09T00:00:00,2019-03-31T00:00:00,-,1047314600.0,89.82193091506018,-21.491095000277575,551735300.0,21897100.0,103.52356166930012,-32.882310980123634,10759000.0,-,-,电子信息,058001001,069001001001,2019-07-09T00:00:00
688003,天准科技,A股,上交所科创板,2019-07-08T00:00:00,2019-03-31T00:00:00,-,97061200.0,69.34398771721683,-32.55943417517301,57316000.0,769400.0,-57.01916094072956,-95.45240723052308,1790100.0,-,-,专用设备,058001001,069001001006,2019-07-08T00:00:00
688002,睿创微纳,A股,上交所科创板,2019-07-08T00:00:00,2019-03-31T00:00:00,-,100525100.0,177.05687480707323,-52.49764305778173,36283200.0,23240600.0,605.800534499514,-72.20266240750365,3292800.0,-,-,专用设备,058001001,069001001006,2019-07-08T00:00:00
603279,景津环保,A股,上交所主板,2019-07-08T00:00:00,2019-03-31T00:00:00,-,811781300.0,34.612245452959584,4.301106351766882,603051600.0,93610500.0,21.868201825474628,280.70236455375095,76812900.0,-,-,专用设备,058001001,069001001001,2019-07-08T00:00:00
688015,交控科技,A股,上交所科创板,2019-07-06T00:00:00,2019-03-31T00:00:00,-,107767500.0,16.93420630029253,-79.42701493706873,92160800.0,-24289900.0,-49.641143166934654,-143.9501867834989,-16232100.0,-,-,交运设备,058001001,069001001006,2019-07-06T00:00:00
688388,嘉元科技,A股,上交所科创板,2019-07-06T00:00:00,2019-03-31T00:00:00,-,334921200.0,69.40434545980581,-7.821623121258227,197705200.0,80053400.0,214.05313372877632,14.144319803025788,25490400.0,-,-,材料行业,058001001,069001001006,2019-07-06T00:00:00
688028,沃尔德,A股,上交所科创板,2019-07-04T00:00:00,2019-03-31T00:00:00,-,58396900.0,7.913191794466198,-23.43317996968343,54114700.0,14169800.0,0.7601561555582419,-16.710802335377885,14062900.0,-,-,专用设备,058001001,069001001006,2019-07-04T00:00:00
688022,瀚川智能,A股,上交所科创板,2019-07-04T00:00:00,2019-03-31T00:00:00,-,52207500.0,232.2926810639476,-73.22869477856355,15711300.0,1005400.0,115.42426706349815,-97.60286164721083,-6518300.0,-,-,专用设备,058001001,069001001006,2019-07-04T00:00:00
688116,天奈科技,A股,上交所科创板,2019-07-04T00:00:00,2019-03-31T00:00:00,-,95893100.0,80.45981986593449,4.329412950267188,53138200.0,25408500.0,288.56264623572054,15.961910137399238,6539100.0,-,-,材料行业,058001001,069001001006,2019-07-04T00:00:00
688088,虹软科技,A股,上交所科创板,2019-07-03T00:00:00,2019-03-31T00:00:00,-,126048100.0,29.267507268522554,2.614869016105183,97509500.0,30421200.0,-16.32182643377802,-22.18313313276613,36355000.0,-,-,软件服务,058001001,069001001006,2019-07-03T00:00:00
688018,乐鑫科技,A股,上交所科创板,2019-07-02T00:00:00,2019-03-31T00:00:00,-,147467300.0,37.23620377255244,1.2814420145059238,107455100.0,28343700.0,11.603430353430353,-5.060395731263483,25396800.0,-,-,电子元件,058001001,069001001006,2019-07-02T00:00:00
688122,西部超导,A股,上交所科创板,2019-07-02T00:00:00,2019-03-31T00:00:00,-,345036000.0,46.47795482072332,2.5110544910801598,235554900.0,35276300.0,11.949160610580432,1.1413769829396065,31511000.0,-,-,金属制品,058001001,069001001006,2019-07-02T00:00:00
601698,中国卫通,A股,上交所主板,2019-06-27T00:00:00,2019-03-31T00:00:00,-,657973888.7,2.5252131160339966,-11.618798716414705,641767881.97,96213320.76,10.429564348601932,-42.76725035156941,87126415.22,-,-,通讯行业,058001001,069001001001,2019-06-27T00:00:00
688023,安恒信息,A股,上交所科创板,2019-06-26T00:00:00,2019-03-31T00:00:00,-,81111700.0,38.114187440403214,-74.35010098894992,58728000.0,-37287600.0,-38.08585649108254,-128.4178425059056,-27003200.0,-,-,电子信息,058001001,069001001006,2019-06-26T00:00:00
688012,中微公司,A股,上交所科创板,2019-06-26T00:00:00,2019-03-31T00:00:00,-,376288946.91,524.133641600982,-43.268471246636345,60289803.63,13840957.35,125.281145774121,-78.31908418825145,-54748141.06,-,-,专用设备,058001001,069001001006,2019-06-26T00:00:00
688009,中国通号,A股,上交所科创板,2019-06-26T00:00:00,2019-03-31T00:00:00,-,7885358500.0,14.853063874611966,-45.483038153659066,6865605700.0,676450500.0,8.855429732822031,-30.10668160446909,621421000.0,-,-,交运设备,058001001,069001001006,2019-06-26T00:00:00
603236,移远通信,A股,上交所主板,2019-06-26T00:00:00,2019-03-31T00:00:00,-,739353500.0,67.48401620850693,-11.92977555504378,441447200.0,43419600.0,54.35335940277284,-38.13568200890687,28130000.0,-,-,电子元件,058001001,069001001001,2019-06-26T00:00:00
688005,容百科技,A股,上交所科创板,2019-06-24T00:00:00,2019-03-31T00:00:00,-,827074100.0,42.04232378970002,-14.82304466713579,582273000.0,29788500.0,-23.016986734685965,-48.41700017000633,38694900.0,-,-,材料行业,058001001,069001001006,2019-06-24T00:00:00
603687,大胜达,A股,上交所主板,2019-06-24T00:00:00,2019-03-31T00:00:00,-,283509613.02,7.938156766979436,-19.43750324592805,262659305.58,24990885.69,-8.377257484705362,-47.4695690758161,27275854.23,-,-,包装材料,058001001,069001001001,2019-06-24T00:00:00
300788,中信出版,A股,深交所创业板,2019-06-24T00:00:00,2019-03-31T00:00:00,-,389627000.0,1.0886514058287995,-26.046122636942787,385431000.0,57036300.0,-10.742012973294418,-8.561139066310242,63900500.0,-,-,文化传媒,058001001,069001002002,2019-06-24T00:00:00
688001,华兴源创,A股,上交所科创板,2019-06-19T00:00:00,2019-03-31T00:00:00,-,185718500.0,27.73121207390203,-29.020906514089873,145397900.0,7503800.0,28.760917686222694,-82.25328718471239,5827700.0,-,-,专用设备,058001001,069001001006,2019-06-19T00:00:00
688188,柏楚电子,A股,上交所科创板,2019-06-18T00:00:00,2019-03-31T00:00:00,-,72599600.0,40.35173188418405,24.132746235692025,51726900.0,56207100.0,87.08012142029796,164.88401781942264,30044400.0,-,-,软件服务,058001001,069001001006,2019-06-18T00:00:00
603867,新化股份,A股,上交所主板,2019-06-14T00:00:00,2019-03-31T00:00:00,-,543290200.0,0.28198703306338113,-5.098938189992374,541762500.0,40621700.0,5.043533576580048,-14.902781716088567,38671300.0,8.74,-,化工行业,058001001,069001001001,2019-06-14T00:00:00
600968,海油发展,A股,上交所主板,2019-06-13T00:00:00,2019-03-31T00:00:00,-,5783411000.0,18.40705571549734,-44.87146744568189,4884346600.0,39708700.0,62.05912841902492,-90.60189116404985,24502600.0,-,-,石油行业,058001001,069001001001,2019-06-13T00:00:00
603915,国茂股份,A股,上交所主板,2019-06-03T00:00:00,2019-03-31T00:00:00,-,448728900.0,16.773739233215217,9.63531204090186,384272100.0,49458500.0,22.508149293067405,-2.062068479794996,40371600.0,-,-,机械行业,058001001,069001001001,2019-06-03T00:00:00
601236,红塔证券,A股,上交所主板,2019-05-24T00:00:00,2019-03-31T00:00:00,-,452229000.0,-,11.77774736760062,-,205407900.0,-,37.14368570990261,-,-,-,券商信托,058001001,069001001001,2019-05-24T00:00:00
603863,松炀资源,A股,上交所主板,2019-05-20T00:00:00,2019-03-31T00:00:00,-,137337200.0,20.8583990115704,-11.062713573852536,113634800.0,17552200.0,-0.3819631658106076,-20.246813198909493,17619500.0,-,-,造纸印刷,058001001,069001001001,2019-05-20T00:00:00
603217,元利科技,A股,上交所主板,2019-05-20T00:00:00,2019-03-31T00:00:00,-,307375200.0,-1.7804292739665182,-3.7999256703642015,312947000.0,43459200.0,-17.782780605005772,9.221905903851308,52859000.0,-,-,化工行业,058001001,069001001001,2019-05-20T00:00:00
601558,ST锐电,A股,上交所风险警示板,2019-04-24T00:00:00,2019-03-31T00:00:00,-0.001,85420738.54,442.0321077208571,-54.49214738521402,15759350.29,-8107495.84,89.57724590938092,-104.43830644307242,-77786502.2,0.2438,-0.5514,输配电气,058001001,069001001003,2019-04-24T00:00:00
603368,柳药股份,A股,上交所主板,2019-04-22T00:00:00,2019-03-31T00:00:00,0.62,3386488000.0,24.891017311287676,12.717297879891623,2711554500.0,160451700.0,41.675202113494365,16.797494033495628,113253200.0,15.35,4.11,医药制造,058001001,069001001001,2019-04-22T00:00:00
scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode,firstnoticedate
603290,斯达半导,A股,上交所主板,2020-02-03T00:00:00,2019-09-30T00:00:00,-,565602600.0,7.977425643680715,-,523815600.0,103620900.0,31.346422229067084,-,78891300.0,-,-,电子元件,058001001,069001001001,2020-02-03T00:00:00
300820,英杰电气,A股,深交所创业板,2020-01-31T00:00:00,2019-09-30T00:00:00,-,337135900.0,4.17164398164599,-,323635000.0,87631500.0,-6.505756471028803,-,93729300.0,-,-,专用设备,058001001,069001002002,2020-01-31T00:00:00
300818,耐普矿机,A股,深交所创业板,2020-01-22T00:00:00,2019-09-30T00:00:00,-,263829800.0,11.974911624934055,-,235615100.0,57027500.0,10.112530942147355,-,51790200.0,-,-,专用设备,058001001,069001002002,2020-01-22T00:00:00
688086,紫晶存储,A股,上交所科创板,2020-01-20T00:00:00,2019-09-30T00:00:00,-,273458900.0,93.08033066534115,-,141629600.0,45361600.0,87.61208351255667,-,24178400.0,-,-,专用设备,058001001,069001001006,2020-01-20T00:00:00
688396,华润微,A股,上交所科创板,2020-01-17T00:00:00,2019-09-30T00:00:00,-,4131914900.0,-15.561990260410388,-,4893430000.0,269707100.0,-40.22622570133713,-,451213100.0,-,-,电子元件,058001001,069001001006,2020-01-17T00:00:00
688026,洁特生物,A股,上交所科创板,2020-01-17T00:00:00,2019-09-30T00:00:00,-,162084300.0,29.165245525397253,7.073546506343874,125486000.0,43735000.0,31.89998099988841,1.38997762043818,33157700.0,-,-,塑胶制品,058001001,069001001006,2020-01-17T00:00:00
603893,瑞芯微,A股,上交所主板,2020-01-17T00:00:00,2019-09-30T00:00:00,-,939560100.0,-2.795814952451106,-,966584000.0,126866000.0,-2.2662736753877657,-,129807800.0,-,-,电子元件,058001001,069001001001,2020-01-17T00:00:00
603195,公牛集团,A股,上交所主板,2020-01-15T00:00:00,2019-09-30T00:00:00,-,7531527400.0,14.844982405672416,-,6557994300.0,1752633900.0,58.53208783517251,-,1105538900.0,-,-,输配电气,058001001,069001001001,2020-01-15T00:00:00
688158,优刻得,A股,上交所科创板,2020-01-14T00:00:00,2019-09-30T00:00:00,-,1071352600.0,27.615309416494455,-,839517300.0,10760400.0,-84.41052684955123,-,69023500.0,-,-,电子信息,058001001,069001001006,2020-01-14T00:00:00
688177,百奥泰,A股,上交所科创板,2020-01-13T00:00:00,2019-09-30T00:00:00,-,700000.0,-,-,-,-884098000.0,-143.79151958760784,7.8788412544433015,-362645100.0,-,-,医药制造,058001001,069001001006,2020-01-13T00:00:00
